Train | episode  17300 | loss: 0.458 | acc: 0.625
Train | episode  17400 | loss: 0.276 | acc: 0.750
Train | episode  17500 | loss: 0.205 | acc: 0.938
Train | episode  17600 | loss: 0.525 | acc: 0.688
Train | episode  17700 | loss: 0.382 | acc: 0.625
Train | episode  17800 | loss: 0.279 | acc: 0.812
Train | episode  17900 | loss: 0.333 | acc: 0.562
Train | episode  18000 | loss: 0.340 | acc: 0.688
Train | episode  18100 | loss: 0.485 | acc: 0.625
Train | episode  18200 | loss: 0.233 | acc: 0.812
Train | episode  18300 | loss: 0.460 | acc: 0.625
Train | episode  18400 | loss: 0.233 | acc: 0.875
Train | episode  18500 | loss: 0.634 | acc: 0.688
Train | episode  18600 | loss: 0.406 | acc: 0.625
Train | episode  18700 | loss: 0.171 | acc: 1.000
Train | episode  18800 | loss: 0.651 | acc: 0.625
Train | episode  18900 | loss: 0.844 | acc: 0.562
Train | episode  19000 | loss: 0.217 | acc: 0.812
Train | episode  19100 | loss: 0.224 | acc: 0.562
Train | episode  19200 | loss: 0.270 | acc: 0.812
Train | episode  19300 | loss: 0.212 | acc: 0.750
Train | episode  19400 | loss: 0.342 | acc: 0.812
Train | episode  19500 | loss: 0.265 | acc: 0.812
Train | episode  19600 | loss: 0.174 | acc: 0.875
Train | episode  19700 | loss: 0.565 | acc: 0.438
Train | episode  19800 | loss: 0.165 | acc: 0.812
Train | episode  19900 | loss: 0.121 | acc: 0.938
Train | episode  20000 | loss: 0.544 | acc: 0.625
Train | episode  20100 | loss: 0.309 | acc: 0.688
Train | episode  20200 | loss: 0.254 | acc: 0.750
Train | episode  20300 | loss: 0.330 | acc: 0.688
Train | episode  20400 | loss: 0.191 | acc: 0.750
Train | episode  20500 | loss: 0.320 | acc: 0.750
Train | episode  20600 | loss: 0.815 | acc: 0.625
Train | episode  20700 | loss: 0.373 | acc: 0.625
Train | episode  20800 | loss: 0.461 | acc: 0.688
Train | episode  20900 | loss: 0.195 | acc: 0.875
Train | episode  21000 | loss: 0.403 | acc: 0.812
Train | episode  21100 | loss: 0.164 | acc: 0.875
Train | episode  21200 | loss: 0.186 | acc: 0.812
Train | episode  21300 | loss: 0.184 | acc: 0.688
Train | episode  21400 | loss: 0.342 | acc: 0.812
Train | episode  21500 | loss: 0.328 | acc: 0.812
Train | episode  21600 | loss: 0.350 | acc: 0.625
Train | episode  21700 | loss: 0.898 | acc: 0.625
Train | episode  21800 | loss: 0.199 | acc: 0.688
Train | episode  21900 | loss: 0.438 | acc: 0.688
Train | episode  22000 | loss: 0.181 | acc: 0.812
Train | episode  22100 | loss: 0.229 | acc: 0.750
Train | episode  22200 | loss: 0.170 | acc: 0.875
Train | episode  22300 | loss: 0.272 | acc: 0.750
Train | episode  22400 | loss: 0.159 | acc: 0.875
Train | episode  22500 | loss: 0.226 | acc: 0.812
Train | episode  22600 | loss: 0.211 | acc: 0.750
Train | episode  22700 | loss: 0.251 | acc: 0.625
Train | episode  22800 | loss: 0.291 | acc: 0.812
Train | episode  22900 | loss: 0.222 | acc: 0.812
Train | episode  23000 | loss: 0.221 | acc: 0.812
Train | episode  23100 | loss: 0.413 | acc: 0.688
Train | episode  23200 | loss: 0.274 | acc: 0.812
Train | episode  23300 | loss: 0.394 | acc: 0.812
Train | episode  23400 | loss: 0.108 | acc: 0.938
Train | episode  23500 | loss: 0.229 | acc: 0.750
Train | episode  23600 | loss: 0.196 | acc: 0.812
Train | episode  23700 | loss: 0.109 | acc: 0.938
Train | episode  23800 | loss: 0.358 | acc: 0.625
Train | episode  23900 | loss: 0.428 | acc: 0.688
Train | episode  24000 | loss: 0.464 | acc: 0.688
Train | episode  24100 | loss: 0.123 | acc: 0.938
Train | episode  24200 | loss: 0.224 | acc: 0.812
Train | episode  24300 | loss: 0.349 | acc: 0.875
Train | episode  24400 | loss: 0.235 | acc: 0.750
Train | episode  24500 | loss: 0.180 | acc: 0.875
Train | episode  24600 | loss: 0.615 | acc: 0.500
Train | episode  24700 | loss: 0.287 | acc: 0.688
Train | episode  24800 | loss: 0.340 | acc: 0.875
Train | episode  24900 | loss: 0.239 | acc: 0.875
Train | episode  25000 | loss: 0.213 | acc: 0.875
Train | episode  25100 | loss: 0.314 | acc: 0.688
Train | episode  25200 | loss: 0.182 | acc: 0.812
Train | episode  25300 | loss: 0.415 | acc: 0.625
Train | episode  25400 | loss: 0.317 | acc: 0.562
Train | episode  25500 | loss: 0.288 | acc: 0.875
Train | episode  25600 | loss: 0.296 | acc: 0.750
Train | episode  25700 | loss: 0.075 | acc: 1.000
Train | episode  25800 | loss: 0.135 | acc: 0.812
Train | episode  25900 | loss: 0.449 | acc: 0.688
Train | episode  26000 | loss: 0.402 | acc: 0.750
Train | episode  26100 | loss: 0.605 | acc: 0.500
Train | episode  26200 | loss: 0.237 | acc: 0.875
Train | episode  26300 | loss: 0.562 | acc: 0.688
Train | episode  26400 | loss: 0.430 | acc: 0.750
Train | episode  26500 | loss: 0.615 | acc: 0.750
Train | episode  26600 | loss: 0.276 | acc: 0.812
Train | episode  26700 | loss: 0.373 | acc: 0.688
Train | episode  26800 | loss: 0.210 | acc: 0.750
Train | episode  26900 | loss: 0.367 | acc: 0.812
Train | episode  27000 | loss: 0.323 | acc: 0.750
Train | episode  27100 | loss: 0.162 | acc: 0.875
Train | episode  27200 | loss: 0.290 | acc: 0.875
Train | episode  27300 | loss: 0.299 | acc: 0.812
Train | episode  27400 | loss: 0.222 | acc: 0.875
Train | episode  27500 | loss: 0.493 | acc: 0.688
Train | episode  27600 | loss: 0.125 | acc: 0.750
Train | episode  27700 | loss: 0.133 | acc: 0.812
Train | episode  27800 | loss: 0.166 | acc: 0.812
Train | episode  27900 | loss: 0.295 | acc: 0.750
Train | episode  28000 | loss: 0.129 | acc: 1.000
Train | episode  28100 | loss: 0.187 | acc: 0.875
Train | episode  28200 | loss: 0.171 | acc: 0.875
Train | episode  28300 | loss: 0.750 | acc: 0.562
Train | episode  28400 | loss: 0.282 | acc: 0.750
Train | episode  28500 | loss: 0.247 | acc: 0.875
Train | episode  28600 | loss: 0.124 | acc: 0.938
Train | episode  28700 | loss: 0.710 | acc: 0.625
Train | episode  28800 | loss: 0.235 | acc: 0.625
Train | episode  28900 | loss: 0.331 | acc: 0.750
Train | episode  29000 | loss: 0.291 | acc: 0.812
Train | episode  29100 | loss: 0.486 | acc: 0.625
Train | episode  29200 | loss: 0.146 | acc: 0.938
Train | episode  29300 | loss: 0.339 | acc: 0.812
Train | episode  29400 | loss: 0.360 | acc: 0.750
Train | episode  29500 | loss: 0.398 | acc: 0.812
